Last updated:  Fri Nov 20 11:15:22 2015
------------------------------------

Farm:  Dreams Come True
Farm:  West End
Farm:  Van Dyke and Knodell
Farm:  Royal Oak Farm
Farm:  Operation Get Down
Farm:  Midland/Princeston
Farm:  Martha Ann
Farm:  Kettering High School
Farm:  Herman Kiefer Complex
Farm:  Gateway
Farm:  Fox 2 News
Farm:  Elmhurst Home
Farm:  E. Grand Blvd &amp;amp; Lafayette
Farm:  Cutters Bar and Grill
Farm:  Christian Guidance Center
Farm:  Christian Guidance Center
Farm:  Central High School
Farm:  Boys &amp; Girls Club
Farm:  Birmingham Temple
Farm:  Care N Share
Farm:  The Brown's
Farm:  Linwood &amp;amp; Clairmount
Farm:  Mema's Doll
Farm:  Pettie's Playground
Farm:  The CH Garden
Farm:  serenity
Farm:  my lil piece of heaven
Farm:  julian st communiti garden
Farm:  Carter
Farm:  Connies Creations
Farm:  cumbarland garden
Farm:  Jsglgt
Farm:  Glo
Farm:  Edible
Farm:  The Joy Garden
Farm:  brown&amp;amp;green
Farm:  Care N Share Community Garden
Farm:  Midaz
Farm:  Northend Neighborhood Patrol
Farm:  special food garden
Farm:  Tyron
Farm:  Healthy Place
Farm:  Mamma Mays
Farm:  Fast food
Farm:  Mary
Farm:  NO
Farm:  Beautiful
Farm:  Nameless
Farm:  Sweet Cookie
Farm:  Pathfinder
Farm:  Gloria
Farm:  Ruby
Farm:  Terrence Place
Farm:  Luther
Farm:  Resha's Love
Farm:  Veggie Garden
Farm:  Love Garden
Farm:  Picka
Farm:  Nameless
Farm:  Garden of Love
Farm:  good stuff
Farm:  Reece&amp;amp;jenning
Farm:  Richardson-Bey
Farm:  Sasha
Farm:  Girlfriends Place
Farm:  Horn of Plenty
Farm:  D.A.R.
Farm:  Bostic
Farm:  Brown
Farm:  Little John
Farm:  Green's Haven
Farm:  Household
Farm:  The hawk
Farm:  Marie
Farm:  Joe
Farm:  Mama Mays
Farm:  no name
Farm:  Mary
Farm:  Ms. Jackson
Farm:  nope
Farm:  sweet cookie
Farm:  warden
Farm:  turners choice
Farm:  Terrence Place
Farm:  willow
Farm:  Turnip
Farm:  Blessed Garden
Farm:  Greedy
Farm:  Spicey
Farm:  HA HA MO
Farm:  Rosemary's Garden
Farm:  cupboard garden
Farm:  Terry's Plce
Farm:  Whitaker Square
Farm:  Mark Twain
Farm:  Fancy Garden
Farm:  Midas Touch
Farm:  sunshine
Farm:  Pringle Gardens
Farm:  Sam
Farm:  Reevson Garden
Farm:  Julie's Heart
Farm:  Thoms Place
Farm:  Blessed
Farm:  flovierty
Farm:  Mean Green
Farm:  gigi
Farm:  fiftyone
Farm:  galleria
Farm:  No-Name
Farm:  not named
Farm:  Berndette Gardens
Farm:  Grandmas Garden
Farm:  2 baby mama garden
Farm:  CB's Place
Farm:  Thumbs UP
Farm:  Eddie Garden
Farm:  Lot of Love
Farm:  Craig's Greenway
Farm:  Pleasely Plum
Farm:  Farmer
Farm:  IDK
Farm:  Bird
Farm:  Lovely
Farm:  Peace
Farm:  Detroit  Finest
Farm:  meme
Farm:  Sisters
Farm:  Friends
Farm:  Baily Bail
Farm:  My Place
Farm:  Kevin's Garden of Love
