Latitude,Longitude,Pin Type,id,Name,Size,City,Country,Zip/Postal Code
36.164556, -86.77738, familyPin, 1, Encore Herb Garden, planter_box_etc, Nashville, TN, 37201
42.488735, -83.13752, friendPin, 2, damoff, small_10x10, Royal Oak, Mi, 48067
42.499335, -83.22829, familyPin, 3, Pleasureville, small_10x10, Southfield, Mi, 48076
54.5704551, -1.32898209999996, friendPin, 4, Blakeston Eco Garden, large_over_20x20, Stockton-On-Tees, Cl, TS19
54.612537, -1.29096100000004, familyPin, 5, Bede Eco Garden, large_over_20x20, Billingham, Te, TS23
54.132775, -0.783321000000001, familyPin, 6, Saddington garden, small_10x10, Norton, Cl, TS20
42.396736, -83.14152, familyPin, 7, Dreams Come True, small_10x10, Detroit, MI, 48238
47.497912, 19.0402349999999, familyPin, 8, Susus kitchen, planter_box_etc, Budapest, Bu, 
40.841522, -73.28001, familyPin, 9, 7 Angelica Farms, large_over_20x20, Commack, NY, 11725
34.029112, -118.3183, friendPin, 10, Garden School Foundation, large_over_20x20, Los Angeles, CA, 90018
35.767829, -78.5861, friendPin, 11, Word of God Fellowship Church, medium_20x20, Raleigh, NC, 27610
39.961612, -75.19957, friendPin, 12, Woodland Presbyterian Church, medium_20x20, Philadelphia, PA, 19104
39.173409, -84.51295, friendPin, 13, Winton Hills Recreation, medium_20x20, Cincinnati, OH, 45232
42.5065, -83.35363, friendPin, 14, West End, medium_20x20, Detroit, MI, 48334
38.676851, -90.24009, friendPin, 15, Wesley House, medium_20x20, St. Louis, MO, 63115
34.044662, -118.24255, friendPin, 16, Weingart Center, medium_20x20, Los Angeles, CA, 90013
38.691901, -90.25992, friendPin, 17, Walbridge CESS, medium_20x20, St. Louis, MO, 63120
44.971798, -93.30273, friendPin, 18, Van White, medium_20x20, Minneapolis, MN, 55405
42.5065, -83.35363, friendPin, 19, Van Dyke and Knodell, medium_20x20, Detroit, MI, 48334
38.836145, -77.00058, friendPin, 20, Valley Site, medium_20x20, Washington, DC, 20032
34.026448, -118.2829, friendPin, 21, USC, medium_20x20, Los Angeles, CA, 90007
44.934915, -93.25424, friendPin, 22, Urban Arts Academy, medium_20x20, Minneapolis, MN, 55407
38.907711, -77.01732, friendPin, 23, UPO, medium_20x20, Washington, DC, 20001
35.997193, -78.89731, friendPin, 24, Union Baptist Church, medium_20x20, Durham, NC, 27701
44.999165, -93.29823, friendPin, 25, U-WHO Garden, medium_20x20, Minneapolis, MN, 55411
40.820012, -74.36474, friendPin, 26, TRISCUIT HQ, medium_20x20, Hanover, NJ, 07936
39.784622, -104.96214, friendPin, 27, The Growhaus, medium_20x20, Denver, CO, 80216
34.007063, -118.25868, friendPin, 28, The Accelerated School, medium_20x20, Los Angeles, CA, 90011
39.698137, -105.03483, friendPin, 29, SWIC, medium_20x20, Denver, CO, 80219
35.640589, -120.70418, friendPin, 30, Steinbeck Vineyards & Winery, medium_20x20, Paso Robles, CA, 93446
38.631551, -90.193, friendPin, 31, St Louis Rams, medium_20x20, St. Louis, MO, 63101
44.953665, -93.15922, friendPin, 32, SPROUT at Hamline Church, medium_20x20, St. Paul, MN, 55104
44.953665, -93.15922, friendPin, 33, SPROUT at Hamline, medium_20x20, St. Paul, MN, 55104
39.759386, -104.91945, friendPin, 34, Senator Site, medium_20x20, Denver, CO, 80207
42.488735, -83.13752, friendPin, 35, Royal Oak Farm, medium_20x20, Detroit, MI, 48067
34.259052, -118.59426, friendPin, 36, Ride On, medium_20x20, Chatsworth, CA, 91311
34.03457, -118.42843, friendPin, 37, Richland Avenue Elementary School, medium_20x20, Los Angeles, CA, 90064
27.993498, -82.40914, friendPin, 38, Project NOW, medium_20x20, Tampa, FL, 33610
33.962714, -118.276, friendPin, 39, Praises of Zion/Personal Involvement Center, medium_20x20, Los Angeles, CA, 90003
45.011215, -93.15536, friendPin, 40, Peace Lutheran, medium_20x20, Lauderdale, MN, 55113
